# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	31	834	+							BARCL_RS00015	804		old_locus_tag=BARCL_0001
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	31	834	+	WP_035450954.1	WP_035450954.1		kinase/pyrophosphorylase			BARCL_RS00015	804	267	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	831	1427	+							BARCL_RS00020	597		old_locus_tag=BARCL_0002
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	831	1427	+	WP_013544368.1	WP_013544368.1		Maf family nucleotide pyrophosphatase			BARCL_RS00020	597	198	
gene	pseudogene	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	1452	2076	+							BARCL_RS00025	625		pseudo;old_locus_tag=BARCL_0003
CDS	without_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	1452	2076	+				hypothetical protein			BARCL_RS00025	625		pseudo
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	2073	2666	+					coaE		BARCL_RS00030	594		old_locus_tag=BARCL_0005
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	2073	2666	+	WP_013544369.1	WP_013544369.1		dephospho-CoA kinase	coaE		BARCL_RS00030	594	197	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	2680	3387	+					dnaQ		BARCL_RS00035	708		old_locus_tag=BARCL_0006
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	2680	3387	+	WP_013544370.1	WP_013544370.1		DNA polymerase III subunit epsilon	dnaQ		BARCL_RS00035	708	235	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	3694	6600	+					polA		BARCL_RS00040	2907		old_locus_tag=BARCL_0007
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	3694	6600	+	WP_013544371.1	WP_013544371.1		DNA polymerase I	polA		BARCL_RS00040	2907	968	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	6597	7478	-							BARCL_RS00045	882		old_locus_tag=BARCL_0008
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	6597	7478	-	WP_013544372.1	WP_013544372.1		endonuclease/exonuclease/phosphatase family protein			BARCL_RS00045	882	293	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	7572	8345	-							BARCL_RS00050	774		old_locus_tag=BARCL_0009
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	7572	8345	-	WP_013544373.1	WP_013544373.1		Bax inhibitor-1/YccA family protein			BARCL_RS00050	774	257	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	9129	9632	-					lspA		BARCL_RS00055	504		old_locus_tag=BARCL_0010
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	9129	9632	-	WP_026501175.1	WP_026501175.1		signal peptidase II	lspA		BARCL_RS00055	504	167	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	9629	10477	-							BARCL_RS00060	849		old_locus_tag=BARCL_0011
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	9629	10477	-	WP_013544375.1	WP_013544375.1		RNA methyltransferase			BARCL_RS00060	849	282	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	10480	11412	-							BARCL_RS00065	933		old_locus_tag=BARCL_0012
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	10480	11412	-	WP_026501176.1	WP_026501176.1		class I SAM-dependent methyltransferase			BARCL_RS00065	933	310	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	11567	11878	-							BARCL_RS00070	312		old_locus_tag=BARCL_0013
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	11567	11878	-	WP_013544377.1	WP_013544377.1		LapA family protein			BARCL_RS00070	312	103	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	11894	12172	-							BARCL_RS00075	279		old_locus_tag=BARCL_0014
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	11894	12172	-	WP_013544378.1	WP_013544378.1		integration host factor subunit beta			BARCL_RS00075	279	92	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	12383	13033	+					lptC		BARCL_RS00080	651		old_locus_tag=BARCL_0015
CDS	with_protein	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	12383	13033	+	WP_013544379.1	WP_013544379.1		LPS export ABC transporter periplasmic protein LptC	lptC		BARCL_RS00080	651	216	
gene	protein_coding	GCF_000253015.1	Primary Assembly	chromosome		NC_014932.1	13100	13699	+							BARCL_RS00085	600		old_locus_tag=BARCL_0016
