# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	1	825	+						64156312	PRJBM_RS00005	825		old_locus_tag=PRJBM_00001
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	1	825	+	WP_011179971.1	WP_011179971.1		kinase/pyrophosphorylase		64156312	PRJBM_RS00005	825	274	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	837	1433	+						64156313	PRJBM_RS00010	597		old_locus_tag=PRJBM_00002
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	837	1433	+	WP_011179972.1	WP_011179972.1		Maf family nucleotide pyrophosphatase		64156313	PRJBM_RS00010	597	198	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	1426	2307	+						64156314	PRJBM_RS00015	882		old_locus_tag=PRJBM_00003
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	1426	2307	+	WP_034447641.1	WP_034447641.1		shikimate dehydrogenase		64156314	PRJBM_RS00015	882	293	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	2304	2891	+					coaE	64156315	PRJBM_RS00020	588		old_locus_tag=PRJBM_00004
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	2304	2891	+	WP_034454421.1	WP_034454421.1		dephospho-CoA kinase	coaE	64156315	PRJBM_RS00020	588	195	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	2896	3603	+					dnaQ	64156316	PRJBM_RS00025	708		old_locus_tag=PRJBM_00005
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	2896	3603	+	WP_011179975.1	WP_011179975.1		DNA polymerase III subunit epsilon	dnaQ	64156316	PRJBM_RS00025	708	235	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	3932	6838	+					polA	64156317	PRJBM_RS00030	2907		old_locus_tag=PRJBM_00006
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	3932	6838	+	WP_011179976.1	WP_011179976.1		DNA polymerase I	polA	64156317	PRJBM_RS00030	2907	968	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	6854	7714	-						64156318	PRJBM_RS00035	861		old_locus_tag=PRJBM_00007
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	6854	7714	-	WP_034447638.1	WP_034447638.1		endonuclease/exonuclease/phosphatase family protein		64156318	PRJBM_RS00035	861	286	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	7827	8600	-						64156319	PRJBM_RS00040	774		old_locus_tag=PRJBM_00008
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	7827	8600	-	WP_011179978.1	WP_011179978.1		Bax inhibitor-1/YccA family protein		64156319	PRJBM_RS00040	774	257	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	9215	11056	-						64156320	PRJBM_RS00045	1842		old_locus_tag=PRJBM_00009
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	9215	11056	-	WP_011179979.1	WP_011179979.1		MFS transporter		64156320	PRJBM_RS00045	1842	613	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	11591	12082	-					lspA	64156321	PRJBM_RS00050	492		old_locus_tag=PRJBM_00010
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	11591	12082	-	WP_011179980.1	WP_011179980.1		signal peptidase II	lspA	64156321	PRJBM_RS00050	492	163	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	12079	12927	-						64156322	PRJBM_RS00055	849		old_locus_tag=PRJBM_00011
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	12079	12927	-	WP_034447634.1	WP_034447634.1		RNA methyltransferase		64156322	PRJBM_RS00055	849	282	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	12930	13862	-						64156323	PRJBM_RS00060	933		old_locus_tag=PRJBM_00012
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	12930	13862	-	WP_011179982.1	WP_011179982.1		class I SAM-dependent methyltransferase		64156323	PRJBM_RS00060	933	310	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14030	14326	-						64156324	PRJBM_RS00065	297		old_locus_tag=PRJBM_00013
CDS	with_protein	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14030	14326	-	WP_011179983.1	WP_011179983.1		LapA family protein		64156324	PRJBM_RS00065	297	98	
gene	protein_coding	GCF_000612965.1	Primary Assembly	chromosome	I	NZ_HG965802.1	14335	14613	-					ihfB	64156325	PRJBM_RS00070	279		old_locus_tag=PRJBM_00014
